 Month    Low     2      3      4      5      6      7      8      9    High
193207  69.19  73.49  53.21  65.58  43.79  38.44  28.68  30.35  19.30  13.02
193208 113.98 112.13  74.46  76.54  75.69  62.38  46.86  35.88  37.56  30.82
193209 -10.93  -2.24  -8.91  -7.58  -7.57  -1.40  -7.12  -7.47  -4.58  -2.71
193210 -15.52 -15.68 -19.74 -17.14 -15.44 -16.06 -15.26 -15.53 -17.82 -18.61
193211 -10.23  -7.18   0.51 -10.17  -7.35  -6.60  -7.78  -4.25  -7.09  -7.94
193212  -9.62  -6.60  -5.10  -4.11  -4.45  -3.47  -2.67  -1.05   0.59  -0.25
193301   2.11   4.48   7.61   6.03   1.63   4.34   4.01   4.02   4.81  -3.18
193302 -17.60 -16.45 -19.68 -20.06 -14.82 -16.89 -15.40 -13.25 -12.69 -11.60
193303   6.55  12.15  10.66   6.18  12.13  15.41  10.42   7.52  11.75  12.14
193304  57.46  58.83  54.10  59.54  43.52  53.47  47.11  56.49  42.87  44.75
193305  80.57  70.97  71.13  66.47  50.54  50.37  62.39  57.21  37.46  56.60
193306  31.75  26.23  25.75  24.99  15.08  21.81  19.72  19.54  27.50  15.55
193307  -8.71 -11.44  -8.41 -10.50  -9.91  -8.50 -11.63  -7.16  -9.74  -9.35
193308   4.84   3.53  12.37  11.82  13.54  15.35  13.81  13.69  12.57  10.65
193309 -21.30 -17.24 -16.81 -15.64 -14.33  -8.78 -15.27 -13.87 -13.61 -15.13
193310  -9.46 -10.00 -11.38 -10.49 -12.77 -10.37 -10.40 -12.59 -10.66 -10.83
193311   1.07   2.03   7.36  10.32   7.03   6.61   9.44  11.13   4.80   6.86
193312  -1.61  -1.49   3.06   3.14   2.56   1.15   3.16   4.11   2.49   2.91
193401  42.69  38.57  34.02  30.72  32.14  29.03  26.40  26.35  34.34  27.47
193402   1.03   0.58   1.04   1.75   1.01   0.59   0.67  -0.21   0.46   3.86
193403  -1.21   0.15   2.96  -0.24  -0.39  -0.80   2.23   1.23   0.59   1.84
193404   1.46   0.74   2.03   1.61  -0.22   1.47  -2.46  -0.43  -0.76  -4.02
193405  -8.75  -8.90  -9.33  -9.15 -11.03 -12.53 -11.72 -11.98 -13.42 -12.38
193406  -2.02  -0.10   0.01   0.57   0.90   0.34   1.57   2.72  -1.96  -0.20
193407 -22.80 -22.94 -22.69 -20.35 -19.16 -18.17 -18.99 -12.32 -13.44 -17.85
193408   6.36  11.57  12.78  10.00   8.08   8.98   9.56   8.87  11.00  11.90
193409  -1.76  -2.86  -2.34  -1.07  -1.89  -0.59  -0.87   1.21  -0.74  -1.01
193410  -5.85  -6.32  -5.73  -3.41  -3.83  -1.22   0.09   3.03   1.98   1.95
193411  12.96  11.37  12.06  12.91  10.96  13.42  13.62  16.21  14.73  13.52
193412   2.04  -3.00   0.78  -0.01   1.24   1.03  -0.15   2.09   4.30   6.70
193501  -3.71  -4.02  -4.58  -2.51  -2.02  -4.78  -2.86  -2.77  -3.40  -2.31
193502 -18.66 -12.19 -10.53  -7.03  -7.62  -2.21  -0.74  -0.28   1.54   1.11
193503 -11.24 -10.66  -7.79  -9.75  -6.18  -8.27  -5.89  -3.58  -4.97  -4.82
193504   9.31  18.05   9.80  10.62  10.87  10.05   6.50   7.04   9.07   5.58
193505   4.68   2.25   3.53   2.40   3.38   2.67   0.99   0.49   1.78   2.72
193506  -2.42   2.17   3.31   2.78   5.19   6.83   5.14   6.36   5.76   7.04
193507  13.60  15.62  15.52  12.25   9.95   5.01  12.10   8.46   8.90   9.03
193508  25.50  16.04  13.07   5.11   4.11   4.01   3.60   4.40   2.77   6.00
193509  -9.70   0.79   1.29   1.46   3.04   4.51   2.00   4.49   5.64   9.64
193510   8.25   9.34   5.01   7.71   8.45   7.01   9.04   9.25   8.99  11.09
193511  40.58  24.35  13.49   9.57  15.09   8.64   6.72   9.01   9.12  10.69
193512  -1.23   3.31   7.25   5.62   4.72   4.12   9.94   6.33   8.37  10.48
193601  25.02  16.62  16.64  11.62  12.88  10.79  14.47  15.14  17.27  11.35
193602   1.48   2.35   1.85   2.91   5.88   7.46   5.42   8.12   5.17   2.75
193603   0.51  -1.44   1.64   0.17  -1.02   0.72   1.30  -0.70   2.48   4.35
193604  -5.57  -4.22 -10.96 -11.88 -12.89 -13.91 -16.57 -14.18 -15.95 -18.48
193605   2.48   2.73   5.18   3.69   4.38   5.29   7.40   6.12   6.35   8.69
193606  -1.08   0.95  -0.38  -0.23   1.07   1.19   0.53  -1.08   2.06  -3.10
193607   2.95   5.74   5.50   9.50   8.43   7.64   9.99   8.62  10.35   9.82
193608   0.48   0.48   2.53   2.98   4.26   3.18  -0.10   3.85   4.09   0.12
193609   5.80   1.09   3.23   3.08   2.44   4.90   1.31   3.62   2.39   4.94
193610   6.48   5.86   4.63   6.93   4.34   7.22  10.09   7.14   6.40   7.01
193611   8.62  10.34   6.30   9.49   8.28   7.78  10.55  11.09  10.67   8.62
193612   1.00   2.25   1.91   5.88   1.54   2.44   1.62   1.71   6.36   2.38
193701   7.30   9.07   6.85   9.30   7.44  10.23   4.98   7.01   6.88   9.91
193702   0.99   2.46   1.01   4.29   1.87   2.06   2.50   1.03   4.06   6.62
193703  -3.61   1.21   0.40  -0.97  -0.94   0.27   1.21   0.87  -0.69   2.46
193704 -12.24  -9.69  -8.89  -7.84  -9.67  -8.66  -8.76 -10.27 -11.48 -14.95
193705  -4.70  -2.11  -2.80  -0.46  -2.82  -3.02  -2.35  -2.06  -1.43  -2.10
193706 -10.80  -7.77  -7.31  -7.16  -5.26  -6.79  -7.10  -7.94  -6.66 -10.07
193707  14.60   9.38   9.14   9.01   9.66   9.37   9.29   9.28   9.89  11.27
193708  -7.97  -5.09  -5.75  -4.72  -4.50  -3.35  -4.94  -5.54  -6.49  -5.94
193709 -20.85 -17.82 -15.54 -16.03 -17.47 -17.40 -19.42 -21.08 -23.10 -25.57
193710  -8.14  -9.53  -8.90 -11.26 -10.03  -9.36  -9.05 -10.87 -10.87 -12.62
